# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-05-06 03:08:46 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06043500 Gallatin River near Gallatin Gateway, MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 06043500
#            TS   parameter     statistic     Description
#         80830       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	80830_00060_00003	80830_00060_00003_cd
USGS	06043500	1989-10-18	365	A
USGS	06043500	1989-10-19	381	A
USGS	06043500	1989-10-20	374	A
USGS	06043500	1989-10-21	371	A
USGS	06043500	1989-10-22	369	A
USGS	06043500	1989-10-23	365	A
USGS	06043500	1989-10-24	386	A
USGS	06043500	1989-10-25	461	A
USGS	06043500	1989-10-26	441	A
USGS	06043500	1989-10-27	407	A
USGS	06043500	1989-10-28	407	A
USGS	06043500	1989-10-29	376	A
USGS	06043500	1989-10-30	366	A
USGS	06043500	1989-10-31	394	A
USGS	06043500	1989-11-01	290	A
USGS	06043500	1989-11-02	334	A
USGS	06043500	1989-11-03	393	A
USGS	06043500	1989-11-04	407	A
USGS	06043500	1989-11-05	396	A
USGS	06043500	1989-11-06	379	A
USGS	06043500	1989-11-07	371	A
USGS	06043500	1989-11-08	347	A
USGS	06043500	1989-11-09	365	A
USGS	06043500	1989-11-10	409	A
USGS	06043500	1989-11-11	399	A
USGS	06043500	1989-11-12	396	A
USGS	06043500	1989-11-13	395	A
USGS	06043500	1989-11-14	374	A
USGS	06043500	1989-11-15	338	A
USGS	06043500	1989-11-16	362	A
USGS	06043500	1989-11-17	374	A
USGS	06043500	1989-11-18	360	A
USGS	06043500	1989-11-19	354	A
USGS	06043500	1989-11-20	341	A
USGS	06043500	1989-11-21	349	A
USGS	06043500	1989-11-22	334	A
USGS	06043500	1989-11-23	318	A
USGS	06043500	1989-11-24	366	A
USGS	06043500	1989-11-25	338	A
USGS	06043500	1989-11-26	343	A
USGS	06043500	1989-11-27	334	A
USGS	06043500	1989-11-28	272	A
USGS	06043500	1989-11-29	251	A
USGS	06043500	1989-11-30	235	A
USGS	06043500	1989-12-01	219	A
USGS	06043500	1989-12-02	241	A
USGS	06043500	1989-12-03	317	A
USGS	06043500	1989-12-04	323	A
USGS	06043500	1989-12-05	312	A
USGS	06043500	1989-12-06	298	A
USGS	06043500	1989-12-07	286	A
USGS	06043500	1989-12-08	278	A
USGS	06043500	1989-12-09	291	A
USGS	06043500	1989-12-10	283	A
USGS	06043500	1989-12-11	205	A
USGS	06043500	1989-12-12	229	A
USGS	06043500	1989-12-13	254	A
USGS	06043500	1989-12-14	281	A
USGS	06043500	1989-12-15	287	A
USGS	06043500	1989-12-16	264	A
USGS	06043500	1989-12-17	253	A
USGS	06043500	1989-12-18	200	A:e
USGS	06043500	1989-12-19	210	A:e
USGS	06043500	1989-12-20	220	A:e
USGS	06043500	1989-12-21	190	A:e
USGS	06043500	1989-12-22	220	A:e
USGS	06043500	1989-12-23	250	A:e
USGS	06043500	1989-12-24	279	A
USGS	06043500	1989-12-25	266	A
USGS	06043500	1989-12-26	273	A
USGS	06043500	1989-12-27	267	A
USGS	06043500	1989-12-28	267	A
USGS	06043500	1989-12-29	277	A
USGS	06043500	1989-12-30	274	A
USGS	06043500	1989-12-31	271	A
USGS	06043500	1990-01-01	275	A
USGS	06043500	1990-01-02	290	A
USGS	06043500	1990-01-03	258	A
USGS	06043500	1990-01-04	249	A
USGS	06043500	1990-01-05	269	A
USGS	06043500	1990-01-06	282	A
USGS	06043500	1990-01-07	279	A
USGS	06043500	1990-01-08	294	A
USGS	06043500	1990-01-09	287	A
USGS	06043500	1990-01-10	288	A
USGS	06043500	1990-01-11	284	A
USGS	06043500	1990-01-12	268	A
USGS	06043500	1990-01-13	270	A
USGS	06043500	1990-01-14	287	A
USGS	06043500	1990-01-15	290	A
USGS	06043500	1990-01-16	292	A
USGS	06043500	1990-01-17	278	A
USGS	06043500	1990-01-18	220	A
USGS	06043500	1990-01-19	219	A
USGS	06043500	1990-01-20	240	A
USGS	06043500	1990-01-21	256	A
USGS	06043500	1990-01-22	272	A
USGS	06043500	1990-01-23	276	A
USGS	06043500	1990-01-24	271	A
USGS	06043500	1990-01-25	273	A
USGS	06043500	1990-01-26	274	A
USGS	06043500	1990-01-27	256	A
USGS	06043500	1990-01-28	265	A
USGS	06043500	1990-01-29	270	A
USGS	06043500	1990-01-30	250	A:e
USGS	06043500	1990-01-31	220	A:e
USGS	06043500	1990-02-01	210	A:e
USGS	06043500	1990-02-02	240	A:e
USGS	06043500	1990-02-03	264	A
USGS	06043500	1990-02-04	268	A
USGS	06043500	1990-02-05	259	A
USGS	06043500	1990-02-06	264	A
USGS	06043500	1990-02-07	269	A
USGS	06043500	1990-02-08	265	A
USGS	06043500	1990-02-09	252	A
USGS	06043500	1990-02-10	259	A
USGS	06043500	1990-02-11	267	A
USGS	06043500	1990-02-12	274	A
USGS	06043500	1990-02-13	230	A:e
USGS	06043500	1990-02-14	210	A:e
USGS	06043500	1990-02-15	200	A:e
USGS	06043500	1990-02-16	220	A:e
USGS	06043500	1990-02-17	240	A:e
USGS	06043500	1990-02-18	250	A:e
USGS	06043500	1990-02-19	261	A
USGS	06043500	1990-02-20	265	A
USGS	06043500	1990-02-21	270	A
USGS	06043500	1990-02-22	268	A
USGS	06043500	1990-02-23	268	A
USGS	06043500	1990-02-24	268	A
USGS	06043500	1990-02-25	273	A
USGS	06043500	1990-02-26	275	A
USGS	06043500	1990-02-27	274	A
USGS	06043500	1990-02-28	266	A
USGS	06043500	1990-03-01	255	A
USGS	06043500	1990-03-02	264	A
USGS	06043500	1990-03-03	282	A
USGS	06043500	1990-03-04	298	A
USGS	06043500	1990-03-05	296	A
USGS	06043500	1990-03-06	288	A
USGS	06043500	1990-03-07	283	A
USGS	06043500	1990-03-08	285	A
USGS	06043500	1990-03-09	296	A
USGS	06043500	1990-03-10	309	A
USGS	06043500	1990-03-11	323	A
USGS	06043500	1990-03-12	309	A
USGS	06043500	1990-03-13	287	A
USGS	06043500	1990-03-14	287	A
USGS	06043500	1990-03-15	293	A
USGS	06043500	1990-03-16	282	A
USGS	06043500	1990-03-17	292	A
USGS	06043500	1990-03-18	300	A
USGS	06043500	1990-03-19	305	A
USGS	06043500	1990-03-20	326	A
USGS	06043500	1990-03-21	334	A
USGS	06043500	1990-03-22	315	A
USGS	06043500	1990-03-23	280	A
USGS	06043500	1990-03-24	269	A
USGS	06043500	1990-03-25	294	A
USGS	06043500	1990-03-26	294	A
USGS	06043500	1990-03-27	317	A
USGS	06043500	1990-03-28	305	A
USGS	06043500	1990-03-29	300	A
USGS	06043500	1990-03-30	312	A
USGS	06043500	1990-03-31	333	A
USGS	06043500	1990-04-01	369	A
USGS	06043500	1990-04-02	422	A
USGS	06043500	1990-04-03	495	A
USGS	06043500	1990-04-04	558	A
USGS	06043500	1990-04-05	575	A
USGS	06043500	1990-04-06	507	A
USGS	06043500	1990-04-07	529	A
USGS	06043500	1990-04-08	549	A
USGS	06043500	1990-04-09	563	A
USGS	06043500	1990-04-10	556	A
USGS	06043500	1990-04-11	532	A
USGS	06043500	1990-04-12	562	A
USGS	06043500	1990-04-13	536	A
USGS	06043500	1990-04-14	636	A
USGS	06043500	1990-04-15	786	A
USGS	06043500	1990-04-16	887	A
USGS	06043500	1990-04-17	871	A
USGS	06043500	1990-04-18	997	A
USGS	06043500	1990-04-19	1140	A
USGS	06043500	1990-04-20	1340	A
USGS	06043500	1990-04-21	1540	A
USGS	06043500	1990-04-22	1630	A
USGS	06043500	1990-04-23	1680	A
USGS	06043500	1990-04-24	1620	A
USGS	06043500	1990-04-25	1420	A
USGS	06043500	1990-04-26	1360	A
USGS	06043500	1990-04-27	1200	A
USGS	06043500	1990-04-28	1160	A
USGS	06043500	1990-04-29	1000	A
USGS	06043500	1990-04-30	958	A
USGS	06043500	1990-05-01	866	A
USGS	06043500	1990-05-02	912	A
USGS	06043500	1990-05-03	888	A
USGS	06043500	1990-05-04	907	A
USGS	06043500	1990-05-05	996	A
USGS	06043500	1990-05-06	1300	A
USGS	06043500	1990-05-07	1710	A
USGS	06043500	1990-05-08	1500	A
USGS	06043500	1990-05-09	1360	A
USGS	06043500	1990-05-10	1280	A
USGS	06043500	1990-05-11	1280	A
USGS	06043500	1990-05-12	1200	A
USGS	06043500	1990-05-13	1250	A
USGS	06043500	1990-05-14	1230	A
USGS	06043500	1990-05-15	1280	A
USGS	06043500	1990-05-16	1190	A
USGS	06043500	1990-05-17	1160	A
USGS	06043500	1990-05-18	1190	A
USGS	06043500	1990-05-19	1270	A
USGS	06043500	1990-05-20	1300	A
USGS	06043500	1990-05-21	1320	A
USGS	06043500	1990-05-22	1400	A
USGS	06043500	1990-05-23	1670	A
USGS	06043500	1990-05-24	2210	A
USGS	06043500	1990-05-25	2250	A
USGS	06043500	1990-05-26	1950	A
USGS	06043500	1990-05-27	1830	A
USGS	06043500	1990-05-28	1950	A
USGS	06043500	1990-05-29	2380	A
USGS	06043500	1990-05-30	2670	A
USGS	06043500	1990-05-31	2740	A
USGS	06043500	1990-06-01	2450	A
USGS	06043500	1990-06-02	2180	A
USGS	06043500	1990-06-03	1980	A
USGS	06043500	1990-06-04	2110	A
USGS	06043500	1990-06-05	2250	A
USGS	06043500	1990-06-06	2260	A
USGS	06043500	1990-06-07	2590	A
USGS	06043500	1990-06-08	2700	A
USGS	06043500	1990-06-09	2680	A
USGS	06043500	1990-06-10	3840	A
USGS	06043500	1990-06-11	4800	A
USGS	06043500	1990-06-12	3610	A
USGS	06043500	1990-06-13	2910	A
USGS	06043500	1990-06-14	2630	A
USGS	06043500	1990-06-15	2600	A
USGS	06043500	1990-06-16	2560	A
USGS	06043500	1990-06-17	2510	A
USGS	06043500	1990-06-18	2690	A
USGS	06043500	1990-06-19	2930	A
USGS	06043500	1990-06-20	2880	A
USGS	06043500	1990-06-21	3080	A
USGS	06043500	1990-06-22	3220	A
USGS	06043500	1990-06-23	3440	A
USGS	06043500	1990-06-24	3620	A
USGS	06043500	1990-06-25	3600	A
USGS	06043500	1990-06-26	3420	A
USGS	06043500	1990-06-27	3270	A
USGS	06043500	1990-06-28	3010	A
USGS	06043500	1990-06-29	2720	A
USGS	06043500	1990-06-30	2580	A
USGS	06043500	1990-07-01	2500	A
USGS	06043500	1990-07-02	2370	A
USGS	06043500	1990-07-03	2330	A
USGS	06043500	1990-07-04	1990	A
USGS	06043500	1990-07-05	1840	A
USGS	06043500	1990-07-06	1780	A
USGS	06043500	1990-07-07	1660	A
USGS	06043500	1990-07-08	1530	A
USGS	06043500	1990-07-09	1460	A
USGS	06043500	1990-07-10	1390	A
USGS	06043500	1990-07-11	1300	A
USGS	06043500	1990-07-12	1250	A
USGS	06043500	1990-07-13	1210	A
USGS	06043500	1990-07-14	1170	A
USGS	06043500	1990-07-15	1110	A
USGS	06043500	1990-07-16	1060	A
USGS	06043500	1990-07-17	1010	A
USGS	06043500	1990-07-18	965	A
USGS	06043500	1990-07-19	932	A
USGS	06043500	1990-07-20	920	A
USGS	06043500	1990-07-21	908	A
USGS	06043500	1990-07-22	854	A
USGS	06043500	1990-07-23	827	A
USGS	06043500	1990-07-24	823	A
USGS	06043500	1990-07-25	834	A
USGS	06043500	1990-07-26	858	A
USGS	06043500	1990-07-27	836	A
USGS	06043500	1990-07-28	792	A
USGS	06043500	1990-07-29	771	A
USGS	06043500	1990-07-30	742	A
USGS	06043500	1990-07-31	730	A
USGS	06043500	1990-08-01	714	A
USGS	06043500	1990-08-02	684	A
USGS	06043500	1990-08-03	669	A
USGS	06043500	1990-08-04	657	A
USGS	06043500	1990-08-05	634	A
USGS	06043500	1990-08-06	616	A
USGS	06043500	1990-08-07	599	A
USGS	06043500	1990-08-08	591	A
USGS	06043500	1990-08-09	582	A
USGS	06043500	1990-08-10	594	A
USGS	06043500	1990-08-11	615	A
USGS	06043500	1990-08-12	605	A
USGS	06043500	1990-08-13	583	A
USGS	06043500	1990-08-14	557	A
USGS	06043500	1990-08-15	543	A
USGS	06043500	1990-08-16	539	A
USGS	06043500	1990-08-17	615	A
USGS	06043500	1990-08-18	605	A
USGS	06043500	1990-08-19	574	A
USGS	06043500	1990-08-20	579	A
USGS	06043500	1990-08-21	555	A
USGS	06043500	1990-08-22	528	A
USGS	06043500	1990-08-23	529	A
USGS	06043500	1990-08-24	560	A
USGS	06043500	1990-08-25	541	A
USGS	06043500	1990-08-26	568	A
USGS	06043500	1990-08-27	527	A
USGS	06043500	1990-08-28	501	A
USGS	06043500	1990-08-29	485	A
USGS	06043500	1990-08-30	474	A
USGS	06043500	1990-08-31	471	A
USGS	06043500	1990-09-01	465	A
USGS	06043500	1990-09-02	459	A
USGS	06043500	1990-09-03	472	A
USGS	06043500	1990-09-04	483	A
USGS	06043500	1990-09-05	473	A
USGS	06043500	1990-09-06	484	A
USGS	06043500	1990-09-07	453	A
USGS	06043500	1990-09-08	444	A
USGS	06043500	1990-09-09	440	A
USGS	06043500	1990-09-10	435	A
USGS	06043500	1990-09-11	428	A
USGS	06043500	1990-09-12	422	A
USGS	06043500	1990-09-13	413	A
USGS	06043500	1990-09-14	409	A
USGS	06043500	1990-09-15	404	A
USGS	06043500	1990-09-16	397	A
USGS	06043500	1990-09-17	396	A
USGS	06043500	1990-09-18	397	A
USGS	06043500	1990-09-19	398	A
USGS	06043500	1990-09-20	400	A
USGS	06043500	1990-09-21	398	A
USGS	06043500	1990-09-22	392	A
USGS	06043500	1990-09-23	386	A
USGS	06043500	1990-09-24	382	A
USGS	06043500	1990-09-25	381	A
USGS	06043500	1990-09-26	379	A
USGS	06043500	1990-09-27	400	A
USGS	06043500	1990-09-28	388	A
USGS	06043500	1990-09-29	382	A
USGS	06043500	1990-09-30	378	A
USGS	06043500	1990-10-01	375	A
USGS	06043500	1990-10-02	379	A
USGS	06043500	1990-10-03	376	A
USGS	06043500	1990-10-04	383	A
USGS	06043500	1990-10-05	383	A
USGS	06043500	1990-10-06	421	A
USGS	06043500	1990-10-07	395	A
USGS	06043500	1990-10-08	389	A
USGS	06043500	1990-10-09	379	A
USGS	06043500	1990-10-10	410	A
USGS	06043500	1990-10-11	403	A
USGS	06043500	1990-10-12	387	A
USGS	06043500	1990-10-13	389	A
USGS	06043500	1990-10-14	380	A
USGS	06043500	1990-10-15	388	A
USGS	06043500	1990-10-16	407	A
USGS	06043500	1990-10-17	376	A
USGS	06043500	1990-10-18	379	A
USGS	06043500	1990-10-19	419	A
USGS	06043500	1990-10-20	389	A
USGS	06043500	1990-10-21	351	A
USGS	06043500	1990-10-22	401	A
USGS	06043500	1990-10-23	379	A
USGS	06043500	1990-10-24	380	A
USGS	06043500	1990-10-25	381	A
USGS	06043500	1990-10-26	395	A
USGS	06043500	1990-10-27	382	A
USGS	06043500	1990-10-28	378	A
USGS	06043500	1990-10-29	384	A
USGS	06043500	1990-10-30	377	A
USGS	06043500	1990-10-31	374	A
USGS	06043500	1990-11-01	384	A
USGS	06043500	1990-11-02	359	A
USGS	06043500	1990-11-03	297	A
USGS	06043500	1990-11-04	371	A
USGS	06043500	1990-11-05	381	A
USGS	06043500	1990-11-06	341	A
USGS	06043500	1990-11-07	281	A
USGS	06043500	1990-11-08	350	A
USGS	06043500	1990-11-09	365	A
USGS	06043500	1990-11-10	367	A
USGS	06043500	1990-11-11	348	A
USGS	06043500	1990-11-12	341	A
USGS	06043500	1990-11-13	343	A
USGS	06043500	1990-11-14	357	A
USGS	06043500	1990-11-15	356	A
USGS	06043500	1990-11-16	304	A
USGS	06043500	1990-11-17	336	A
USGS	06043500	1990-11-18	358	A
USGS	06043500	1990-11-19	342	A
USGS	06043500	1990-11-20	353	A
USGS	06043500	1990-11-21	315	A
USGS	06043500	1990-11-22	333	A
USGS	06043500	1990-11-23	334	A
USGS	06043500	1990-11-24	335	A
USGS	06043500	1990-11-25	336	A
USGS	06043500	1990-11-26	341	A
USGS	06043500	1990-11-27	268	A
USGS	06043500	1990-11-28	287	A
USGS	06043500	1990-11-29	304	A
USGS	06043500	1990-11-30	314	A
USGS	06043500	1990-12-01	265	A
USGS	06043500	1990-12-02	265	A
USGS	06043500	1990-12-03	244	A
USGS	06043500	1990-12-04	241	A
USGS	06043500	1990-12-05	267	A
USGS	06043500	1990-12-06	249	A
USGS	06043500	1990-12-07	231	A
USGS	06043500	1990-12-08	239	A
USGS	06043500	1990-12-09	270	A
USGS	06043500	1990-12-10	282	A
USGS	06043500	1990-12-11	308	A
USGS	06043500	1990-12-12	275	A
USGS	06043500	1990-12-13	264	A
USGS	06043500	1990-12-14	290	A
USGS	06043500	1990-12-15	257	A
USGS	06043500	1990-12-16	261	A
USGS	06043500	1990-12-17	274	A
USGS	06043500	1990-12-18	285	A
USGS	06043500	1990-12-19	220	A:e
USGS	06043500	1990-12-20	200	A:e
USGS	06043500	1990-12-21	190	A:e
USGS	06043500	1990-12-22	180	A:e
USGS	06043500	1990-12-23	190	A:e
USGS	06043500	1990-12-24	200	A:e
USGS	06043500	1990-12-25	210	A:e
USGS	06043500	1990-12-26	200	A:e
USGS	06043500	1990-12-27	210	A:e
USGS	06043500	1990-12-28	230	A:e
USGS	06043500	1990-12-29	220	A:e
USGS	06043500	1990-12-30	210	A:e
USGS	06043500	1990-12-31	200	A:e
USGS	06043500	1991-01-01	230	A:e
USGS	06043500	1991-01-02	250	A:e
USGS	06043500	1991-01-03	240	A:e
USGS	06043500	1991-01-04	230	A:e
USGS	06043500	1991-01-05	230	A:e
USGS	06043500	1991-01-06	250	A:e
USGS	06043500	1991-01-07	260	A:e
USGS	06043500	1991-01-08	270	A:e
USGS	06043500	1991-01-09	280	A:e
USGS	06043500	1991-01-10	293	A
USGS	06043500	1991-01-11	294	A
USGS	06043500	1991-01-12	293	A
USGS	06043500	1991-01-13	295	A
USGS	06043500	1991-01-14	298	A
USGS	06043500	1991-01-15	290	A
USGS	06043500	1991-01-16	288	A
USGS	06043500	1991-01-17	287	A
USGS	06043500	1991-01-18	282	A
USGS	06043500	1991-01-19	289	A
USGS	06043500	1991-01-20	270	A
USGS	06043500	1991-01-21	249	A
USGS	06043500	1991-01-22	261	A
USGS	06043500	1991-01-23	267	A
USGS	06043500	1991-01-24	277	A
USGS	06043500	1991-01-25	250	A:e
USGS	06043500	1991-01-26	230	A:e
USGS	06043500	1991-01-27	250	A:e
USGS	06043500	1991-01-28	230	A:e
USGS	06043500	1991-01-29	210	A:e
USGS	06043500	1991-01-30	250	A:e
USGS	06043500	1991-01-31	281	A
USGS	06043500	1991-02-01	283	A
USGS	06043500	1991-02-02	284	A
USGS	06043500	1991-02-03	286	A
USGS	06043500	1991-02-04	285	A
USGS	06043500	1991-02-05	286	A
USGS	06043500	1991-02-06	287	A
USGS	06043500	1991-02-07	277	A
USGS	06043500	1991-02-08	274	A
USGS	06043500	1991-02-09	277	A
USGS	06043500	1991-02-10	283	A
USGS	06043500	1991-02-11	275	A
USGS	06043500	1991-02-12	275	A
USGS	06043500	1991-02-13	291	A
USGS	06043500	1991-02-14	286	A
USGS	06043500	1991-02-15	287	A
USGS	06043500	1991-02-16	303	A
USGS	06043500	1991-02-17	296	A
USGS	06043500	1991-02-18	282	A
USGS	06043500	1991-02-19	267	A
USGS	06043500	1991-02-20	271	A
USGS	06043500	1991-02-21	286	A
USGS	06043500	1991-02-22	286	A
USGS	06043500	1991-02-23	283	A
USGS	06043500	1991-02-24	280	A
USGS	06043500	1991-02-25	268	A
USGS	06043500	1991-02-26	257	A
USGS	06043500	1991-02-27	257	A
USGS	06043500	1991-02-28	261	A
USGS	06043500	1991-03-01	250	A:e
USGS	06043500	1991-03-02	230	A:e
USGS	06043500	1991-03-03	260	A:e
USGS	06043500	1991-03-04	269	A
USGS	06043500	1991-03-05	287	A
USGS	06043500	1991-03-06	254	A
USGS	06043500	1991-03-07	242	A
USGS	06043500	1991-03-08	256	A
USGS	06043500	1991-03-09	254	A
USGS	06043500	1991-03-10	260	A
USGS	06043500	1991-03-11	280	A
USGS	06043500	1991-03-12	258	A
USGS	06043500	1991-03-13	264	A
USGS	06043500	1991-03-14	268	A
USGS	06043500	1991-03-15	270	A
USGS	06043500	1991-03-16	270	A
USGS	06043500	1991-03-17	269	A
USGS	06043500	1991-03-18	263	A
USGS	06043500	1991-03-19	272	A
USGS	06043500	1991-03-20	282	A
USGS	06043500	1991-03-21	277	A
USGS	06043500	1991-03-22	271	A
USGS	06043500	1991-03-23	268	A
USGS	06043500	1991-03-24	268	A
USGS	06043500	1991-03-25	265	A
USGS	06043500	1991-03-26	270	A
USGS	06043500	1991-03-27	261	A
USGS	06043500	1991-03-28	257	A
USGS	06043500	1991-03-29	263	A
USGS	06043500	1991-03-30	256	A
USGS	06043500	1991-03-31	272	A
USGS	06043500	1991-04-01	296	A
USGS	06043500	1991-04-02	308	A
USGS	06043500	1991-04-03	331	A
USGS	06043500	1991-04-04	321	A
USGS	06043500	1991-04-05	378	A
USGS	06043500	1991-04-06	435	A
USGS	06043500	1991-04-07	415	A
USGS	06043500	1991-04-08	347	A
USGS	06043500	1991-04-09	318	A
USGS	06043500	1991-04-10	324	A
USGS	06043500	1991-04-11	310	A
USGS	06043500	1991-04-12	300	A
USGS	06043500	1991-04-13	295	A
USGS	06043500	1991-04-14	297	A
USGS	06043500	1991-04-15	298	A
USGS	06043500	1991-04-16	303	A
USGS	06043500	1991-04-17	297	A
USGS	06043500	1991-04-18	293	A
USGS	06043500	1991-04-19	293	A
USGS	06043500	1991-04-20	299	A
USGS	06043500	1991-04-21	335	A
USGS	06043500	1991-04-22	384	A
USGS	06043500	1991-04-23	431	A
USGS	06043500	1991-04-24	461	A
USGS	06043500	1991-04-25	484	A
USGS	06043500	1991-04-26	430	A
USGS	06043500	1991-04-27	386	A
USGS	06043500	1991-04-28	371	A
USGS	06043500	1991-04-29	357	A
USGS	06043500	1991-04-30	350	A
USGS	06043500	1991-05-01	337	A
USGS	06043500	1991-05-02	357	A
USGS	06043500	1991-05-03	346	A
USGS	06043500	1991-05-04	337	A
USGS	06043500	1991-05-05	335	A
USGS	06043500	1991-05-06	372	A
USGS	06043500	1991-05-07	460	A
USGS	06043500	1991-05-08	601	A
USGS	06043500	1991-05-09	890	A
USGS	06043500	1991-05-10	732	A
USGS	06043500	1991-05-11	770	A
USGS	06043500	1991-05-12	949	A
USGS	06043500	1991-05-13	926	A
USGS	06043500	1991-05-14	1190	A
USGS	06043500	1991-05-15	1420	A
USGS	06043500	1991-05-16	1460	A
USGS	06043500	1991-05-17	1890	A
USGS	06043500	1991-05-18	2830	A
USGS	06043500	1991-05-19	2800	A
USGS	06043500	1991-05-20	2940	A
USGS	06043500	1991-05-21	3300	A
USGS	06043500	1991-05-22	3540	A
USGS	06043500	1991-05-23	3880	A
USGS	06043500	1991-05-24	4060	A
USGS	06043500	1991-05-25	4530	A
USGS	06043500	1991-05-26	4520	A
USGS	06043500	1991-05-27	3460	A
USGS	06043500	1991-05-28	2890	A
USGS	06043500	1991-05-29	2670	A
USGS	06043500	1991-05-30	2570	A
USGS	06043500	1991-05-31	2750	A
USGS	06043500	1991-06-01	2760	A
